source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
remotive,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",,remote,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,ai_engineering,68.8,Kubernetes; Docker; Microservices; PostgreSQL; JavaScript; Git,LLM; AI,,,USD,lead,accessible,200
arbeitnow,Senior DevOps/ Cloud Engineer (f/m/d),Accurids GmbH,Cologne,,,https://www.arbeitnow.com/jobs/companies/accurids-gmbh/senior-devops-cloud-engineer-cologne-471451,platform_engineering,67.5,IAM; Kubernetes; AWS Lambda; API Gateway; RDS; SQS; SNS; PostgreSQL; Docker; DynamoDB; CloudWatch; X-Ray; Git,Terraform; Security; Observability; CI/CD; AI,,,,senior,accessible,200
remotive,Frontend Developer,Quinncia Inc,Worldwide,,remote,https://remotive.com/remote-jobs/software-development/frontend-developer-2090991,backend_cloud,66.7,TypeScript; Docker; GraphQL; JavaScript; Git,AI; REST APIs,,,USD,lead,accessible,200
arbeitnow,AI Solutions Architect (m/w/d),Team Passerelle,Berlin,,remote,https://www.arbeitnow.com/jobs/companies/team-passerelle/ai-solutions-architect-berlin-417610,ai_engineering,65.6,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,LLM; RAG; Observability; AI,,,,lead,accessible,200
arbeitnow,Senior backend Developer,Persohap GmbH,Berlin,,,https://www.arbeitnow.com/jobs/companies/persohap-gmbh/senior-backend-developer-berlin-304934,backend_cloud,65.0,IAM; Kubernetes; AWS Lambda; Python; API Gateway; RDS; Microservices; SQS; SNS; PostgreSQL; TypeScript; Docker; DynamoDB; CloudWatch; GraphQL; X-Ray; Node.js; JavaScript; Agile; Git,Security; RAG; Observability; Kafka; LLM; CI/CD; REST APIs; AI,,,,senior,accessible,200
remotive,"Staff Software Engineer, Product (Belo Horizonte)",LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2090910,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,"Staff Software Engineer, Product (Florianópolis)",LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-florianopolis-2090911,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,"Staff Software Engineer, Product (Porto Alegre)",LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-porto-alegre-2090909,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,"Staff Software Engineer, Product (São Paulo)",LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2090912,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,"Staff Software Engineer, Product (Campinas)",LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2090913,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
